Disk,Planet,a_au,Mp_MJ,Mp_lower,Mp_upper,Confidence,log_alpha,log_alpha_lower,log_alpha_upper,h,h_lower,h_upper,log_st,log_st_lower,log_st_upper
AS 209,1,9,0.85,0.25,0.31,0.85,-3.13,0.22,0.24,0.09,0.02,0.01,-2.8,0.23,0.25
AS 209,2,99,0.08,0.03,0.04,0.9,-3.77,0.18,0.18,0.04,0,0,-1.54,0.15,0.2
CI Tau,1,14,1.21,0.52,0.73,0.87,-2.69,0.27,0.27,0.05,0.03,0.02,-2.73,0.38,0.36
CI Tau,2,43,0.26,0.05,0.07,0.83,-3.74,0.17,0.19,0.08,0.01,0,-2.68,0.17,0.16
CI Tau,3,119,0.2,0.04,0.07,0.86,-3.69,0.2,0.22,0.09,0.01,0,-1.95,0.13,0.13
CR Cha,1,90,0.14,0.05,0.06,0.82,-3.7,0.19,0.2,0.04,0,0,-1.7,0.14,0.13
DL Tau,1,39,0.18,0.08,0.13,0.86,-3.25,0.47,0.6,0.08,0.01,0.02,-1.26,0.35,0.34
DL Tau,2,67,0.29,0.07,0.09,0.93,-2.71,0.22,0.2,0.04,0,0,-2.77,0.19,0.17
DL Tau,3,89,0.31,0.06,0.06,0.89,-3.03,0.23,0.31,0.06,0.01,0,-1.55,0.11,0.12
DM Tau,1,70,0.04,0.02,0.01,0.96,-3.54,0.16,0.17,0.04,0.01,0,-2.14,0.11,0.11
DN Tau,1,49,0.02,0.01,0.02,0.85,-3.64,0.37,0.53,0.06,0.01,0.02,-1.4,0.27,0.25
DS Tau,1,33,0.65,0.21,0.3,0.82,-2.99,0.31,0.31,0.09,0.01,0.01,-2.78,0.32,0.33
DoAr 25,1,111,0.02,0.01,0.01,0.88,-3.43,0.19,0.21,0.04,0,0,-1.4,0.11,0.1
Elias 2-20,1,25,0.07,0.02,0.02,0.91,-2.85,0.23,0.24,0.06,0,0,-2.29,0.14,0.14
Elias 2-24,1,57,0.39,0.06,0.06,0.93,-3.6,0.14,0.15,0.05,0,0,-2.57,0.12,0.14
Elias 2-27,1,69,0.3,0.05,0.06,0.81,-3.74,0.18,0.14,0.05,0,0,-2.67,0.15,0.15
FT Tau,1,25,0.1,0.04,0.07,0.84,-3.01,0.49,0.6,0.1,0.02,0.02,-1.56,0.37,0.34
GM Aur,1,67,0.28,0.06,0.07,0.86,-3.68,0.17,0.16,0.06,0,0,-1.84,0.1,0.09
GO Tau,1,59,0.02,0.01,0.01,0.95,-3.75,0.29,0.43,0.05,0.01,0.01,-2.38,0.24,0.24
GO Tau,2,87,0.04,0.01,0.02,0.81,-3.76,0.2,0.22,0.04,0.01,0.01,-1.4,0.19,0.21
GW Lup,1,74,0.03,0.02,0.02,0.87,-3.72,0.19,0.2,0.04,0,0,-1.68,0.13,0.12
HD 107146,1,80,0.18,0.05,0.07,0.76,-3.57,0.27,0.27,0.08,0.01,0.01,-2.2,0.17,0.14
HD 142666,1,16,0.24,0.05,0.07,0.88,-3.57,0.17,0.21,0.07,0,0,-2.79,0.17,0.15
HD 143006,1,22,3.83,0.74,1.06,0.77,-3.55,0.2,0.23,0.06,0.02,0.01,-2.79,0.19,0.25
HD 143006,2,51,0.34,0.07,0.1,0.7,-3.75,0.17,0.19,0.07,0,0,-1.38,0.14,0.13
HD 163296,1,10,0.35,0.12,0.18,0.93,-3.46,0.26,0.3,0.08,0.01,0.01,-2.91,0.22,0.23
HD 163296,2,48,2.83,0.32,0.36,0.8,-3.77,0.14,0.13,0.05,0,0,-2.23,0.15,0.15
HD 163296,3,86,0.13,0.04,0.06,0.82,-3.69,0.18,0.19,0.04,0,0,-1.58,0.15,0.14
HD 97048,1,130,0.59,0.15,0.14,0.85,-2.7,0.15,0.15,0.04,0,0,-1.43,0.12,0.12
HD 169142,1,17,2.52,0.5,0.54,0.74,-3.49,0.17,0.15,0.08,0.01,0.01,-1.25,0.18,0.18
HD 169142,2,50,0.26,0.05,0.06,0.91,-3.27,0.15,0.14,0.04,0,0,-1.35,0.12,0.11
HD 169142,3,64,0.09,0.03,0.04,0.86,-3.69,0.19,0.19,0.03,0,0,-1.61,0.12,0.12
HL Tau,1,13,0.73,0.14,0.16,0.9,-3.28,0.15,0.15,0.07,0.01,0.01,-2.86,0.18,0.18
HL Tau,2,33,0.33,0.05,0.06,0.86,-3.54,0.11,0.12,0.05,0,0,-2.31,0.1,0.09
HL Tau,3,69,0.11,0.02,0.03,0.81,-2.58,0.18,0.17,0.04,0,0,-1.41,0.12,0.13
IM Lup,1,117,0.11,0.02,0.03,0.84,-3.85,0.15,0.16,0.05,0,0,-2.12,0.11,0.1
IQ Tau,1,41,0.08,0.03,0.06,0.75,-3.31,0.46,0.58,0.08,0.01,0.01,-1.22,0.32,0.3
LkCa 15,1,36,4.77,0.96,1.25,0.74,-3.19,0.23,0.24,0.06,0.01,0.01,-2.59,0.21,0.3
LkCa 15,2,70,0.16,0.03,0.04,0.66,-3.45,0.22,0.21,0.04,0,0,-1.39,0.12,0.11
MWC 480,1,73,0.48,0.15,0.21,0.85,-3.58,0.25,0.27,0.06,0.01,0.01,-1.96,0.15,0.15
MWC 758,1,30,4.65,0.61,0.68,0.71,-3.23,0.21,0.22,0.05,0.01,0.01,-2.31,0.22,0.26
PDS 70,1,34,3.83,0.66,0.9,0.73,-3.07,0.24,0.25,0.05,0.01,0.01,-2.68,0.26,0.28
RU Lup,1,29,0.02,0.01,0.01,0.9,-3.56,0.23,0.22,0.04,0,0,-2.02,0.12,0.11
SR 4,1,11,1.01,0.32,0.3,0.86,-2.63,0.19,0.22,0.07,0.02,0.02,-2.71,0.23,0.26
Sz 114,1,24,0,0,0,0.95,-3.38,0.58,0.86,0.05,0.01,0.01,-2.13,0.28,0.27
Sz 129,1,41,0.05,0.01,0.02,0.81,-3.72,0.24,0.28,0.06,0.01,0.01,-1.31,0.14,0.13
TW Hya,1,20,0.54,0.09,0.1,0.87,-3.16,0.16,0.15,0.08,0.01,0.01,-2.97,0.15,0.15
TW Hya,2,81,2.3,0.45,0.65,0.7,-3.74,0.19,0.18,0.06,0.01,0.01,-1.37,0.23,0.25
UZ Tau,1,69,0.02,0.01,0.01,0.92,-3.73,0.26,0.31,0.06,0.01,0.01,-1.44,0.16,0.15
