Disk,Center X,Center Y,Mass,Rp (au),Distance (pc),Inclination (°),PA (°),"res_ba_arcsec ("")",log α,log α Error +,log α Error -,h0,h0 Error +,h0 Error -,log St,log St Error +,log St Error -,Mp,Mp Error +,Mp Error -,Confidence
SO 1274,1000,999,0.64,27,400.1,16,135.6,0.021,-3.72,0.2,0.2,0.06,0.01,0.01,-1.25,0.2,0.17,0.28,0.13,0.09,0.77
SO 1274,1000,999,0.64,42,400.1,16,135.6,0.021,-3.77,0.17,0.18,0.04,0.01,0.01,-1.54,0.19,0.19,0.41,0.16,0.13,0.8
SO 1274,1000,999,0.64,57,400.1,16,135.6,0.021,-3.72,0.17,0.16,0.04,0.01,0.01,-1.19,0.19,0.18,0.3,0.12,0.11,0.79
SO 1274,1000,999,0.64,76,400.1,16,135.6,0.021,-3.8,0.17,0.16,0.04,0,0,-1.73,0.18,0.19,0.37,0.11,0.088,0.75
SO 1274,1000,999,0.64,97,400.1,16,135.6,0.021,-3.8,0.19,0.17,0.06,0,0,-1.24,0.14,0.16,0.14,0.049,0.034,0.72
SO 1153,1001,1001,0.9,8,390.4,47.4,162,0.02,-2.89,2.33,0.97,0.07,0.05,0.04,-1.9,0.54,0.66,0.055,0.14,0.049,0.89
SO 1152,999,1001,0.58,34,391.3,65.8,144.9,0.021,-3.57,0.21,0.17,0.08,0,0,-2.76,0.18,0.17,0.079,0.023,0.017,0.92
SO 1152,999,1001,0.58,49,391.3,65.8,144.9,0.021,-3.31,0.3,0.27,0.08,0.01,0.01,-1.26,0.19,0.2,0.12,0.046,0.03,0.74
SO 844,1000,1000,0.44,10,408.4,30.7,109,0.019,-3.78,0.46,0.77,0.07,0.03,0.02,-2.79,0.44,0.5,0.77,0.42,0.51,0.71
SO 844,1000,1000,0.44,29,408.4,30.7,109,0.019,-3.76,0.16,0.18,0.06,0.01,0,-1.46,0.16,0.16,0.12,0.05,0.037,0.7
SO 662,1000,1000,0.64,9,394.3,53.4,109.6,0.02,-2.96,1.64,1,0.06,0.04,0.03,-1.7,0.47,0.6,0.035,0.076,0.029,0.82
