Disk,Planet,a_au,Mp_MJ,Mp_lower,Mp_upper,Confidence
AS 209,1,9,0.85,0.25,0.31,0.85
AS 209,2,99,0.08,0.03,0.04,0.9
CI Tau,1,14,1.21,0.52,0.73,0.87
CI Tau,2,43,0.26,0.05,0.07,0.83
CI Tau,3,119,0.2,0.04,0.07,0.86
CR Cha,1,90,0.14,0.05,0.05,0.82
DL Tau,1,39,0.18,0.08,0.13,0.86
DL Tau,2,67,0.29,0.07,0.09,0.93
DL Tau,3,89,0.31,0.06,0.06,0.89
DM Tau,1,70,0.04,0.02,0.01,0.96
DN Tau,1,49,0.02,0.01,0.02,0.85
DS Tau,1,33,0.65,0.21,0.3,0.82
DoAr 25,1,111,0.02,0.01,0.01,0.88
Elias 2-20,1,25,0.07,0.02,0.02,0.91
Elias 2-24,1,57,0.3,0.06,0.06,0.93
Elias 2-27,1,69,0.3,0.05,0.06,0.81
FT Tau,1,25,0.1,0.04,0.07,0.84
GM Aur,1,67,0.28,0.06,0.07,0.86
GO Tau,1,59,0.02,0.01,0.01,0.95
GO Tau,2,87,0.04,0.01,0.02,0.81
GW Lup,1,74,0.03,0.02,0.02,0.87
HD 107146,1,80,0.18,0.05,0.07,0.76
HD 142666,1,16,0.24,0.05,0.07,0.88
HD 143006,1,22,3.83,0.74,1.06,0.77
HD 143006,2,51,0.34,0.07,0.1,0.7
HD 163296,1,10,0.35,0.12,0.18,0.93
HD 163296,2,48,2.83,0.32,0.36,0.8
HD 163296,3,86,0.13,0.04,0.06,0.82
HD 97048,1,130,0.59,0.15,0.14,0.85
HD 169142,1,17,2.52,0.5,0.54,0.74
HD 169142,2,50,0.26,0.06,0.06,0.91
HD 169142,3,64,0.09,0.03,0.04,0.86
HL Tau,1,13,0.73,0.14,0.16,0.9
HL Tau,2,33,0.33,0.05,0.06,0.86
HL Tau,3,69,0.11,0.02,0.03,0.81
IM Lup,1,117,0.11,0.02,0.03,0.84
IQ Tau,1,41,0.08,0.03,0.06,0.75
LkCa 15,1,36,4.77,0.96,1.25,0.74
LkCa 15,2,70,0.16,0.03,0.04,0.66
MWC 480,1,73,0.48,0.15,0.21,0.85
MWC 758,1,30,4.65,0.61,0.68,0.71
PDS 70,1,34,3.83,0.66,0.9,0.73
RU Lup,1,29,0.02,0.01,0.01,0.9
SR 4,1,11,1.01,0.32,0.3,0.86
Sz 114,1,24,0,0,0,0.95
Sz 129,1,41,0.05,0.01,0.02,0.81
TW Hya,1,20,0.54,0.09,0.1,0.87
TW Hya,2,81,2.3,0.45,0.65,0.7
UZ Tau,1,69,0.02,0.01,0.01,0.92
